ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_7.1	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4
46	We like to baste potatoes with butter.	The sauce was basted by the monks.	Wine was basted over them by locals.	Butter was basted over potatoes.	The vegetables were basted by the farmers.	The meat was basted with wine by locals.	The meat was basted with the vinegar.	Locals baste wine over the vegetables.	The farmers were basted vinegar over the meat.	We like to baste the sauce potatoes.	The monks baste with the sauce over them.	The monks baste wine from France.	People baste butter under it.	Different types of marinades baste us over the vegetables.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA3 PNounB5	NounBPass3 VerbPass PSubj3	NounBPass5 VerbPass PNounA4 PSubj5	NounBPass5 VerbPass PNounA2
91	Locals baste them with butter.	Different types of marinades were basted by us.	Wine was basted over the meat by locals.	Different types of marinades were basted over potatoes.	It was basted by people.	The vegetables were basted with the vinegar by the farmers.	The vegetables were basted with different types of marinades.	Locals baste wine over it.	People were basted butter over it.	We like to baste wine it.	The monks baste with butter over potatoes.	People baste wine from France.	Locals baste butter under them.	Butter baste people over the vegetables.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA4 PNounB2	NounBPass1 VerbPass PSubj1	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA2
21	The monks baste the vegetables with different types of marinades.	Wine was basted by locals.	Butter was basted over potatoes by people.	Different types of marinades were basted over the vegetables.	They were basted by the monks.	They were basted with the sauce by the monks.	Potatoes were basted with different types of marinades.	The monks baste vinegar over it.	The monks were basted the sauce over the meat.	People baste wine it.	The farmers like to baste with butter over the vegetables.	The farmers like to baste vinegar from Italy.	People baste different types of marinades under it.	Different types of marinades baste us over the meat.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA3 PNounB1	NounBPass5 VerbPass PSubj5	NounBPass1 VerbPass PNounA5 PSubj1	NounBPass5 VerbPass PNounA5
95	The monks baste potatoes with the vinegar.	Different types of marinades were basted by us.	Butter was basted over them by people.	Butter was basted over it.	The meat was basted by people.	The vegetables were basted with different types of marinades by us.	The vegetables were basted with the sauce.	The monks baste vinegar over it.	The monks were basted the sauce over the meat.	The farmers like to baste different types of marinades the meat.	The farmers like to baste with butter over potatoes.	People baste vinegar from Italy.	The farmers like to baste the sauce under them.	Wine baste locals over it.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA3 PNounB3	NounBPass2 VerbPass PSubj2	NounBPass4 VerbPass PNounA5 PSubj4	NounBPass1 VerbPass PNounA5
96	The farmers like to baste it with the vinegar.	Different types of marinades were basted by us.	The sauce was basted over potatoes by the monks.	Butter was basted over it.	Potatoes were basted by us.	The vegetables were basted with the vinegar by the farmers.	The vegetables were basted with the sauce.	Locals baste different types of marinades over potatoes.	People were basted butter over potatoes.	Locals baste butter the meat.	The monks baste with the sauce over them.	We like to baste different types of marinades of seafood.	People baste the sauce under the vegetables.	Butter baste people over it.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA1 PNounB1	NounBPass1 VerbPass PSubj1	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass5 VerbPass PNounA3
6	People baste it with wine.	Different types of marinades were basted by us.	Butter was basted over the meat by people.	The cheese was basted over it.	The meat was basted by locals.	The vegetables were basted with wine by locals.	Potatoes were basted with the sauce.	People baste the sauce over the meat.	The monks were basted the sauce over the meat.	The farmers like to baste vinegar them.	The monks baste with different types of marinades over the meat.	The monks baste the sauce of tomatoes.	Locals baste the sauce under the meat.	Butter baste people over potatoes.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA4 PNounB2	NounBPass1 VerbPass PSubj1	NounBPass4 VerbPass PNounA5 PSubj4	NounBPass5 VerbPass PNounA4
79	The farmers like to baste the vegetables with butter.	The sauce was basted by the monks.	Butter was basted over potatoes by people.	The sauce was basted over it.	The meat was basted by us.	It was basted with different types of marinades by us.	The meat was basted with different types of marinades.	Locals baste the sauce over the meat.	We were basted different types of marinades over them.	Locals baste butter the meat.	The monks baste with the vinegar over the vegetables.	People baste butter of beans.	Locals baste vinegar under them.	Butter baste people over potatoes.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA3 PNounB2	NounBPass3 VerbPass PSubj3	NounBPass4 VerbPass PNounA4 PSubj4	NounBPass2 VerbPass PNounA3
28	We like to baste the vegetables with wine.	Butter was basted by people.	The sauce was basted over it by the monks.	The cheese was basted over them.	The meat was basted by locals.	Potatoes were basted with the vinegar by the farmers.	It was basted with the sauce.	People baste butter over it.	The monks were basted the sauce over them.	People baste vinegar potatoes.	The monks baste with butter over the meat.	Locals baste vinegar from Italy.	The farmers like to baste vinegar under potatoes.	Butter baste people over the vegetables.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA1 PNounB3	NounBPass2 VerbPass PSubj2	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass3 VerbPass PNounA1
35	The farmers like to baste potatoes with the vinegar.	The cheese was basted by the farmers.	Butter was basted over it by people.	The cheese was basted over them.	The vegetables were basted by us.	The meat was basted with different types of marinades by us.	They were basted with wine.	The farmers like to baste vinegar over it.	The monks were basted the sauce over the meat.	People baste the sauce it.	The farmers like to baste with the vinegar over them.	People baste the sauce of tomatoes.	The monks baste the sauce under them.	Butter baste people over it.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA5 PNounB5	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA2 PSubj1	NounBPass2 VerbPass PNounA5
42	People baste potatoes with the sauce.	Wine was basted by locals.	The cheese was basted over the meat by the farmers.	The sauce was basted over the vegetables.	Potatoes were basted by us.	The meat was basted with the sauce by the monks.	It was basted with wine.	People baste butter over the meat.	The farmers were basted vinegar over the meat.	Locals baste the sauce it.	People baste with the sauce over the vegetables.	The farmers like to baste the sauce of tomatoes.	The farmers like to baste different types of marinades under the vegetables.	Vinegar baste the farmers over the vegetables.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA3 PNounB4	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA2 PSubj1	NounBPass2 VerbPass PNounA2
48	People baste the vegetables with butter.	The cheese was basted by the farmers.	The cheese was basted over potatoes by the farmers.	Different types of marinades were basted over the vegetables.	They were basted by the monks.	Potatoes were basted with the sauce by the monks.	The meat was basted with the vinegar.	The farmers like to baste wine over it.	The monks were basted the sauce over it.	We like to baste wine potatoes.	The monks baste with wine over them.	We like to baste vinegar from Italy.	The farmers like to baste vinegar under potatoes.	Vinegar baste the farmers over the meat.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB5	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA5 PSubj2	NounBPass1 VerbPass PNounA1
78	The farmers like to baste them with butter.	Butter was basted by people.	Different types of marinades were basted over the vegetables by us.	Butter was basted over it.	Potatoes were basted by the farmers.	The meat was basted with the vinegar by the farmers.	The vegetables were basted with wine.	The monks baste butter over the meat.	The farmers were basted vinegar over the vegetables.	The monks baste vinegar the meat.	We like to baste with the vinegar over them.	We like to baste the sauce of tomatoes.	We like to baste butter under potatoes.	Wine baste locals over the meat.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA1 PNounB5	NounBPass4 VerbPass PSubj4	NounBPass4 VerbPass PNounA4 PSubj4	NounBPass3 VerbPass PNounA5
68	Locals baste them with wine.	Different types of marinades were basted by us.	The sauce was basted over potatoes by the monks.	Wine was basted over it.	They were basted by the farmers.	The meat was basted with wine by locals.	Potatoes were basted with butter.	We like to baste vinegar over potatoes.	We were basted different types of marinades over the vegetables.	The farmers like to baste the sauce the meat.	People baste with the vinegar over them.	We like to baste the sauce of tomatoes.	Locals baste vinegar under the meat.	Vinegar baste the farmers over the meat.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA5 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA4 PSubj2	NounBPass1 VerbPass PNounA4
62	Locals baste it with the sauce.	Butter was basted by people.	The cheese was basted over the vegetables by the farmers.	The cheese was basted over the vegetables.	They were basted by people.	It was basted with different types of marinades by us.	Potatoes were basted with wine.	People baste different types of marinades over it.	The farmers were basted vinegar over the vegetables.	The monks baste vinegar the meat.	Locals baste with the sauce over potatoes.	People baste different types of marinades of seafood.	Locals baste wine under the vegetables.	Wine baste locals over it.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA4 PNounB1	NounBPass2 VerbPass PSubj2	NounBPass5 VerbPass PNounA5 PSubj5	NounBPass3 VerbPass PNounA1
59	Locals baste the meat with butter.	The cheese was basted by the farmers.	The sauce was basted over them by the monks.	Butter was basted over it.	The vegetables were basted by the farmers.	The vegetables were basted with different types of marinades by us.	They were basted with the sauce.	People baste butter over the meat.	We were basted different types of marinades over it.	The monks baste the sauce the meat.	The farmers like to baste with the vinegar over them.	The monks baste wine from France.	The farmers like to baste vinegar under them.	Butter baste people over it.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA4 PNounB5	NounBPass4 VerbPass PSubj4	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass3 VerbPass PNounA1
49	The farmers like to baste it with the vinegar.	Different types of marinades were basted by us.	The cheese was basted over potatoes by the farmers.	The sauce was basted over it.	The meat was basted by us.	The vegetables were basted with wine by locals.	Potatoes were basted with wine.	Locals baste the sauce over them.	We were basted different types of marinades over it.	The farmers like to baste different types of marinades it.	The monks baste with wine over it.	Locals baste vinegar from Italy.	The farmers like to baste different types of marinades under potatoes.	Different types of marinades baste us over them.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA5 PNounB3	NounBPass4 VerbPass PSubj4	NounBPass3 VerbPass PNounA5 PSubj3	NounBPass2 VerbPass PNounA1
24	The farmers like to baste it with butter.	Wine was basted by locals.	Wine was basted over the vegetables by locals.	Butter was basted over the meat.	The meat was basted by the farmers.	The meat was basted with the sauce by the monks.	The meat was basted with butter.	We like to baste different types of marinades over it.	The monks were basted the sauce over it.	We like to baste vinegar the vegetables.	Locals baste with wine over the vegetables.	The monks baste different types of marinades of seafood.	Locals baste the sauce under it.	The sauce baste the monks over it.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA4 PNounB1	NounBPass2 VerbPass PSubj2	NounBPass3 VerbPass PNounA1 PSubj3	NounBPass4 VerbPass PNounA2
15	The farmers like to baste them with different types of marinades.	Different types of marinades were basted by us.	Different types of marinades were basted over the meat by us.	The cheese was basted over the vegetables.	The meat was basted by the farmers.	It was basted with the sauce by the monks.	It was basted with wine.	The farmers like to baste vinegar over potatoes.	The farmers were basted vinegar over the vegetables.	Locals baste different types of marinades them.	The monks baste with wine over them.	Locals baste different types of marinades of seafood.	Locals baste vinegar under potatoes.	Wine baste locals over them.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA5 PNounB4	NounBPass3 VerbPass PSubj3	NounBPass4 VerbPass PNounA2 PSubj4	NounBPass4 VerbPass PNounA1
26	The monks baste them with the sauce.	Butter was basted by people.	Different types of marinades were basted over the vegetables by us.	Butter was basted over potatoes.	The vegetables were basted by locals.	The meat was basted with different types of marinades by us.	The meat was basted with butter.	The farmers like to baste wine over the vegetables.	We were basted different types of marinades over the meat.	Locals baste vinegar them.	Locals baste with the vinegar over the vegetables.	The monks baste wine from France.	The farmers like to baste the sauce under it.	Different types of marinades baste us over potatoes.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA1 PNounB5	NounBPass2 VerbPass PSubj2	NounBPass4 VerbPass PNounA5 PSubj4	NounBPass4 VerbPass PNounA3
39	The farmers like to baste the vegetables with wine.	Different types of marinades were basted by us.	The cheese was basted over potatoes by the farmers.	Butter was basted over it.	Potatoes were basted by locals.	The meat was basted with wine by locals.	It was basted with wine.	Locals baste different types of marinades over it.	People were basted butter over the vegetables.	The farmers like to baste the sauce them.	The farmers like to baste with the sauce over the meat.	We like to baste vinegar from Italy.	The farmers like to baste butter under potatoes.	Butter baste people over it.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA4 PNounB2	NounBPass5 VerbPass PSubj5	NounBPass4 VerbPass PNounA4 PSubj4	NounBPass5 VerbPass PNounA3
20	Locals baste the vegetables with the vinegar.	The cheese was basted by the farmers.	The sauce was basted over the vegetables by the monks.	The cheese was basted over the vegetables.	It was basted by the monks.	The meat was basted with the sauce by the monks.	Potatoes were basted with the sauce.	The monks baste butter over the vegetables.	We were basted different types of marinades over them.	We like to baste butter the vegetables.	The monks baste with the vinegar over it.	The monks baste wine from France.	Locals baste different types of marinades under the meat.	The sauce baste the monks over the meat.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA1 PNounB5	NounBPass5 VerbPass PSubj5	NounBPass4 VerbPass PNounA4 PSubj4	NounBPass1 VerbPass PNounA2
0	Locals baste the vegetables with the sauce.	Butter was basted by people.	Butter was basted over the meat by people.	Butter was basted over them.	The meat was basted by the monks.	They were basted with butter by people.	The vegetables were basted with wine.	People baste the sauce over the vegetables.	We were basted different types of marinades over the vegetables.	Locals baste the sauce the meat.	We like to baste with the vinegar over the vegetables.	People baste different types of marinades of seafood.	Locals baste butter under the meat.	Different types of marinades baste us over them.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA1 PNounB3	NounBPass5 VerbPass PSubj5	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA4
10	People baste the meat with the vinegar.	Wine was basted by locals.	Butter was basted over the vegetables by people.	Wine was basted over potatoes.	The meat was basted by us.	It was basted with different types of marinades by us.	The meat was basted with the sauce.	Locals baste different types of marinades over them.	The farmers were basted vinegar over the meat.	We like to baste vinegar potatoes.	Locals baste with the sauce over the meat.	The monks baste the sauce of tomatoes.	We like to baste the sauce under potatoes.	Wine baste locals over the vegetables.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA1 PNounB4	NounBPass2 VerbPass PSubj2	NounBPass5 VerbPass PNounA5 PSubj5	NounBPass3 VerbPass PNounA1
