ID,Sent_1,Sent_2,Sent_3,Sent_4,Sent_5,Sent_6,Sent_7,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Answer_value_1,Answer_value_2,Answer_value_3,Answer_value_4,Answer_value_5,Answer_value_6,Answer_label_1,Answer_label_2,Answer_label_3,Answer_label_4,Answer_label_5,Answer_label_6
18,Le chien sur le coussin s'endormait .,Les chiens sur le coussin s’endormaient .,Le chien sur les coussins s'endormait .,Les chiens sur les coussins s’endormaient .,Le chien sur le coussin du bébé s'endormait .,Les chiens sur le coussin du bébé s’endormaient .,Le chien sur les coussins du bébé s'endormait .,Les chiens sur les coussins du bébé s'endormait .,Le chien sur les coussins du bébé s’endormaient .,Les chiens sur les coussins et le bébé s’endormaient .,Les chiens sur les coussins du bébé de ma cousine s’endormaient .,Les chiens sur les coussins du bébé s’endormaient .,Les chiens sur le coussin du bébé s’endormaient .,False,False,False,False,True,False,agreement_error,N1_alter,coordination,mis_num,True,N2_alter
19,Le gréviste sur l'escalier bloquait la porte .,Les grévistes sur l'escalier bloquaient la porte .,Le gréviste sur les escaliers bloquait la porte .,Les grévistes sur les escaliers bloquaient la porte .,Le gréviste sur l'escalier du patron bloquait la porte .,Les grévistes sur l'escalier du patron bloquaient la porte .,Le gréviste sur les escaliers du patron bloquait la porte .,Les grévistes sur les escaliers et le patron bloquaient la porte .,Les grévistes sur l'escalier du patron bloquaient la porte .,Les grévistes sur les escaliers du patron bloquait la porte .,Les grévistes sur les escaliers du patron de l'entreprise bloquaient la porte .,Le gréviste sur les escaliers du patron bloquaient la porte .,Les grévistes sur les escaliers du patron bloquaient la porte .,False,False,False,False,False,True,coordination,N2_alter,agreement_error,mis_num,N1_alter,True
20,L'architecte du château a perdu les plans .,Les architectes du château ont perdu les plans .,L'architecte des châteaux a perdu les plans .,Les architectes des châteaux ont perdu les plans .,L'architecte du château du millionnaire a perdu les plans .,Les architectes du château du millionnaire ont perdu les plans .,L'architecte des châteaux du millionnaire a perdu les plans .,Les architectes des châteaux et le millionnaire ont perdu les plans .,L'architecte des châteaux du millionnaire ont perdu les plans .,Les architectes des châteaux du millionnaire dans l'île ont perdu les plans .,Les architectes des châteaux du millionnaire ont perdu les plans .,Les architectes du château du millionnaire ont perdu les plans .,Les architectes des châteaux du millionnaire a perdu les plans .,False,False,False,True,False,False,coordination,N1_alter,mis_num,True,N2_alter,agreement_error
21,La victime du mensonge a porté plainte .,Les victimes du mensonge ont porté plainte .,La victime des mensonges a porté plainte .,Les victimes des mensonges ont porté plainte .,La victime du mensonge du policier a porté plainte .,Les victimes du mensonge du policier ont porté plainte .,La victime des mensonges du policier a porté plainte .,Les victimes du mensonge du policier ont porté plainte .,Les victimes des mensonges du policier ont porté plainte .,Les victimes des mensonges du policier a porté plainte .,La victime des mensonges du policier ont porté plainte .,Les victimes des mensonges et le policier ont porté plainte .,Les victimes des mensonges du policier du commissariat ont porté plainte .,False,True,False,False,False,False,N2_alter,True,agreement_error,N1_alter,coordination,mis_num
22,Le voleur de la voiture a fait une embardée .,Les voleurs de la voiture ont fait une embardée .,Le voleur des voitures a fait une embardée .,Les voleurs des voitures ont fait une embardée .,Le voleur de la voiture du garagiste a fait une embardée .,Les voleurs de la voiture du garagiste ont fait une embardée .,Le voleur des voitures du garagiste a fait une embardée .,Les voleurs des voitures du garagiste a fait une embardée .,Les voleurs des voitures du garagiste dans la banlieue ont fait une embardée .,Les voleurs des voitures et le garagiste ont fait une embardée .,Le voleur des voitures du garagiste ont fait une embardée .,Les voleurs de la voiture du garagiste ont fait une embardée .,Les voleurs des voitures du garagiste ont fait une embardée .,False,False,False,False,False,True,agreement_error,mis_num,coordination,N1_alter,N2_alter,True
23,Le responsable du droit va démissionner .,Les responsables du droit vont démissionner .,Le responsable des droits va démissionner .,Les responsables des droits vont démissionner .,Le responsable du droit de l'immigré va démissionner .,Les responsables du droit de l'immigré vont démissionner .,Le responsable des droits de l'immigré va démissionner .,Les responsables des droits de l'immigré va démissionner .,Le responsable des droits de l'immigré vont démissionner .,Les responsables des droits de l'immigré vont démissionner .,Les responsables des droits et l'immigré vont démissionner .,Les responsables du droit de l'immigré vont démissionner .,Les responsables des droits de l'immigré du port vont démissionner .,False,False,True,False,False,False,agreement_error,N1_alter,True,coordination,N2_alter,mis_num
24,Le gamin du clochard pleure .,Les gamins du clochard pleurent .,Le gamin des clochards pleure .,Les gamins des clochards pleurent .,Le gamin du clochard près de la poubelle pleure .,Les gamins du clochard près de la poubelle pleurent .,Le gamin des clochards près de la poubelle pleure .,Les gamins du clochard près de la poubelle pleurent .,Les gamins des clochards près de la poubelle du voisin pleurent .,Le gamin des clochards près de la poubelle pleurent .,Les gamins des clochards près de la poubelle pleurent .,Les gamins des clochards près de la poubelle pleure .,Les gamins des clochards et de la poubelle pleurent .,False,False,False,True,False,False,N2_alter,mis_num,N1_alter,True,agreement_error,coordination
25,L'avocat de l'assassin va revenir .,Les avocats de l'assassin vont revenir .,L'avocat des assassins va revenir .,Les avocats des assassins vont revenir .,L'avocat de l'assassin du village va revenir .,Les avocats de l'assassin du village vont revenir .,L'avocat des assassins du village va revenir .,Les avocats de l'assassin du village vont revenir .,Les avocats des assassins du village va revenir .,Les avocats des assassins et le village vont revenir .,Les avocats des assassins du village vont revenir .,Les avocats des assassins du village près du lac vont revenir .,L'avocat des assassins du village vont revenir .,False,False,False,True,False,False,N2_alter,agreement_error,coordination,True,mis_num,N1_alter
26,Le cochon du laboureur se vautrait dans la mare .,Les cochons du laboureur se vautraient dans la mare .,Le cochon des laboureurs se vautrait dans la mare .,Les cochons des laboureurs se vautraient dans la mare .,Le cochon du laboureur du champs se vautrait dans la mare .,Les cochons du laboureur du champs se vautraient dans la mare .,Le cochon des laboureurs du champs se vautrait dans la mare .,Les cochons des laboureurs du champs de la ville se vautraient dans la mare .,Le cochon des laboureurs du champs se vautraient dans la mare .,Les cochons des laboureurs du champs se vautraient dans la mare .,Les cochons du laboureur du champs se vautraient dans la mare .,Les cochons des laboureurs du champs se vautrait dans la mare .,Les cochons des laboureurs et le champs se vautraient dans la mare .,False,False,True,False,False,False,mis_num,N1_alter,True,N2_alter,agreement_error,coordination
27,La copine du propriétaire dormait sur la plage .,Les copines du propriétaire dormaient sur la plage .,La copine des propriétaires dormait sur la plage .,Les copines des propriétaires dormaient sur la plage .,La copine du propriétaire de la villa dormait sur la plage .,Les copines du propriétaire de la villa dormaient sur la plage .,La copine des propriétaires de la villa dormait sur la plage .,Les copines des propriétaires de la villa dormaient sur la plage .,Les copines des propriétaires et la villa dormaient sur la plage .,Les copines du propriétaire de la villa dormaient sur la plage .,Les copines des propriétaires de la villa dormait sur la plage .,Les copines des propriétaires de la villa de mon ami dormaient sur la plage .,La copine des propriétaires de la villa dormaient sur la plage .,True,False,False,False,False,False,True,coordination,N2_alter,agreement_error,mis_num,N1_alter
28,L'accompagnatrice du musicien jouait merveilleusement .,Les accompagnatrices du musicien jouaient merveilleusement .,L'accompagnatrice des musiciens jouait merveilleusement .,Les accompagnatrices des musiciens jouaient merveilleusement .,L'accompagnatrice du musicien de la rue jouait merveilleusement .,Les accompagnatrices du musicien de la rue jouaient merveilleusement .,L'accompagnatrice des musiciens de la rue jouait merveilleusement .,Les accompagnatrices des musiciens de la rue de l’épicerie jouaient merveilleusement .,Les accompagnatrices des musiciens et la rue jouaient merveilleusement .,Les accompagnatrices des musiciens de la rue jouait merveilleusement .,Les accompagnatrices du musicien de la rue jouaient merveilleusement .,L'accompagnatrice des musiciens de la rue jouaient merveilleusement .,Les accompagnatrices des musiciens de la rue jouaient merveilleusement .,False,False,False,False,False,True,mis_num,coordination,agreement_error,N2_alter,N1_alter,True
29,Le professeur de mon cousin ressemble à une star .,Les professeurs de mon cousin ressemblent à une star .,Le professeur de mes cousins ressemble à une star .,Les professeurs de mes cousins ressemblent à une star .,Le professeur de mon cousin sur la photo ressemble à une star .,Les professeurs de mon cousin sur la photo ressemblent à une star .,Le professeur de mes cousins sur la photo ressemble à une star .,Les professeurs de mon cousin sur la photo ressemblent à une star .,Les professeurs de mes cousins et la photo ressemblent à une star .,Les professeurs de mes cousins sur la photo ressemblent à une star .,Les professeurs de mes cousins sur la photo ressemble à une star .,Les professeurs de mes cousins sur la photo en-dessous de l’étagère ressemblent à une star .,Le professeur de mes cousins sur la photo ressemblent à une star .,False,False,True,False,False,False,N2_alter,coordination,True,agreement_error,mis_num,N1_alter
30,L'entraîneur du vainqueur va recevoir une grosse récompense .,Les entraîneurs du vainqueur vont recevoir une grosse récompense .,L'entraîneur des vainqueurs va recevoir une grosse récompense .,Les entraîneurs des vainqueurs vont recevoir une grosse récompense .,L'entraîneur du vainqueur du match va recevoir une grosse récompense .,Les entraîneurs du vainqueur du match vont recevoir une grosse récompense .,L'entraîneur des vainqueurs du match va recevoir une grosse récompense .,Les entraîneurs des vainqueurs du match vont recevoir une grosse récompense .,Les entraîneurs des vainqueurs et le match vont recevoir une grosse récompense .,Les entraîneurs des vainqueurs du match va recevoir une grosse récompense .,L'entraîneur des vainqueurs du match vont recevoir une grosse récompense .,Les entraîneurs du vainqueur du match vont recevoir une grosse récompense .,Les entraîneurs des vainqueurs du match à élimination directe vont recevoir une grosse récompense .,True,False,False,False,False,False,True,coordination,agreement_error,N1_alter,N2_alter,mis_num
31,Le possesseur du perroquet va venir .,Les possesseurs du perroquet vont venir .,Le possesseur des perroquets va venir .,Les possesseurs des perroquets vont venir .,Le possesseur du perroquet dans l'arbre va venir .,Les possesseurs du perroquet dans l'arbre vont venir .,Le possesseur des perroquets dans l'arbre va venir .,Les possesseurs des perroquets dans l'arbre du jardin vont venir .,Les possesseurs des perroquets dans l'arbre va venir .,Les possesseurs des perroquets et l'arbre vont venir .,Les possesseurs des perroquets dans l'arbre vont venir .,Le possesseur des perroquets dans l'arbre vont venir .,Les possesseurs du perroquet dans l'arbre vont venir .,False,False,False,True,False,False,mis_num,agreement_error,coordination,True,N1_alter,N2_alter
32,L'ordinateur avec le programme est en panne .,Les ordinateurs avec le programme sont en panne .,L'ordinateur avec les programmes est en panne .,Les ordinateurs avec les programmes sont en panne .,L'ordinateur avec le programme des expériences est en panne .,Les ordinateurs avec le programme des expériences sont en panne .,L'ordinateur avec les programmes des expériences est en panne .,L'ordinateur avec les programmes des expériences sont en panne .,Les ordinateurs avec le programme des expériences sont en panne .,Les ordinateurs avec les programmes des expériences sont en panne .,Les ordinateurs avec les programmes des expériences est en panne .,Les ordinateurs avec les programmes des expériences des adultes sont en panne .,Les ordinateurs avec les programmes et les expériences sont en panne .,False,False,True,False,False,False,N1_alter,N2_alter,True,agreement_error,mis_num,coordination
33,L'exposition avec la peinture a rencontré un grand succès .,Les expositions avec la peinture ont rencontré un grand succès .,L'exposition avec les peintures a rencontré un grand succès .,Les expositions avec les peintures ont rencontré un grand succès .,L'exposition avec la peinture des enfants a rencontré un grand succès .,Les expositions avec la peinture des enfants ont rencontré un grand succès .,L'exposition avec les peintures des enfants a rencontré un grand succès .,Les expositions avec les peintures des enfants des crèches ont rencontré un grand succès .,Les expositions avec la peinture des enfants ont rencontré un grand succès .,L'exposition avec les peintures des enfants ont rencontré un grand succès .,Les expositions avec les peintures des enfants ont rencontré un grand succès .,Les expositions avec les peintures des enfants a rencontré un grand succès .,Les expositions avec les peintures et les enfants ont rencontré un grand succès .,False,False,False,True,False,False,mis_num,N2_alter,N1_alter,True,agreement_error,coordination
34,Le trousseau avec la clé repose sur l’étagère .,Les trousseaux avec la clé reposent sur l’étagère .,Le trousseau avec les clés repose sur l’étagère .,Les trousseaux avec les clés reposent sur l’étagère .,Le trousseau avec la clé des cellules repose sur l’étagère .,Les trousseaux avec la clé des cellules reposent sur l’étagère .,Le trousseau avec les clés des cellules repose sur l’étagère .,Les trousseaux avec les clés des cellules des prisonniers reposent sur l’étagère .,Le trousseau avec les clés des cellules reposent sur l’étagère .,Les trousseaux avec les clés des cellules repose sur l’étagère .,Les trousseaux avec la clé des cellules reposent sur l’étagère .,Les trousseaux avec les clés et les cellules reposent sur l’étagère .,Les trousseaux avec les clés des cellules reposent sur l’étagère .,False,False,False,False,False,True,mis_num,N1_alter,agreement_error,N2_alter,coordination,True
35,Le livre sur la privatisation a enthousiasmé l’auditoire .,Les livres sur la privatisation ont enthousiasmé l’auditoire .,Le livre sur les privatisations a enthousiasmé l’auditoire .,Les livres sur les privatisations ont enthousiasmé l’auditoire .,Le livre sur la privatisation des entreprises a enthousiasmé l’auditoire .,Les livres sur la privatisation des entreprises ont enthousiasmé l’auditoire .,Le livre sur les privatisations des entreprises a enthousiasmé l’auditoire .,Les livres sur les privatisations des entreprises ont enthousiasmé l’auditoire .,Les livres sur les privatisations des entreprises dans les villes ont enthousiasmé l’auditoire .,Les livres sur les privatisations et les entreprises ont enthousiasmé l’auditoire .,Les livres sur les privatisations des entreprises a enthousiasmé l’auditoire .,Les livres sur la privatisation des entreprises ont enthousiasmé l’auditoire .,Le livre sur les privatisations des entreprises ont enthousiasmé l’auditoire .,True,False,False,False,False,False,True,mis_num,coordination,agreement_error,N2_alter,N1_alter
36,La conférence sur l'histoire a commencé plus tard que prévu .,Les conférences sur l'histoire ont commencé plus tard que prévu .,La conférence sur les histoires a commencé plus tard que prévu .,Les conférences sur les histoires ont commencé plus tard que prévu .,La conférence sur l'histoire des guerres a commencé plus tard que prévu .,Les conférences sur l'histoire des guerres ont commencé plus tard que prévu .,La conférence sur les histoires des guerres a commencé plus tard que prévu .,Les conférences sur les histoires et les guerres ont commencé plus tard que prévu .,La conférence sur les histoires des guerres ont commencé plus tard que prévu .,Les conférences sur les histoires des guerres des successions ont commencé plus tard que prévu .,Les conférences sur l'histoire des guerres ont commencé plus tard que prévu .,Les conférences sur les histoires des guerres a commencé plus tard que prévu .,Les conférences sur les histoires des guerres ont commencé plus tard que prévu .,False,False,False,False,False,True,coordination,N1_alter,mis_num,N2_alter,agreement_error,True
