ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_7	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4
10	The farmers like to baste butter over the vegetables.	Different types of marinades were basted by us.	Butter was basted over the meat by people.	Different types of marinades were basted over the meat.	They were basted by us.	The vegetables were basted with the sauce by the monks.	The meat was basted with different types of marinades.	We like to baste the vegetables with the vinegar.	People were basted the vegetables with butter.	The farmers like to baste it different types of marinades.	The farmers like to baste over potatoes with the vinegar.	Locals baste potatoes of seafood.	Locals baste it under the sauce.	The vegetables baste the monks with the sauce.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB5 PNounA1	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA5 PSubj2	NounBPass1 VerbPass PNounA1
11	We like to baste vinegar over the meat.	Butter was basted by people.	Wine was basted over potatoes by locals.	Butter was basted over it.	It was basted by locals.	Potatoes were basted with wine by locals.	The meat was basted with wine.	Locals baste it with butter.	The farmers were basted potatoes with the vinegar.	The farmers like to baste the vegetables vinegar.	People baste over them with the vinegar.	People baste potatoes from Italy.	The monks baste them under the sauce.	The vegetables baste locals with wine.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB2 PNounA2	NounBPass1 VerbPass PSubj1	NounBPass3 VerbPass PNounA4 PSubj3	NounBPass3 VerbPass PNounA1
12	People baste wine over it.	The sauce was basted by the monks.	The sauce was basted over the vegetables by the monks.	The sauce was basted over them.	It was basted by locals.	The meat was basted with wine by locals.	Potatoes were basted with different types of marinades.	We like to baste the vegetables with wine.	The monks were basted the meat with the sauce.	We like to baste the meat vinegar.	The monks baste over potatoes with wine.	The farmers like to baste the vegetables of beans.	Locals baste potatoes under the sauce.	The meat baste the monks with the sauce.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB2 PNounA5	NounBPass2 VerbPass PSubj2	NounBPass1 VerbPass PNounA3 PSubj1	NounBPass1 VerbPass PNounA5
13	We like to baste wine over the vegetables.	The sauce was basted by the monks.	The cheese was basted over the meat by the farmers.	The cheese was basted over the meat.	The meat was basted by us.	Potatoes were basted with the vinegar by the farmers.	Potatoes were basted with different types of marinades.	The farmers like to baste them with the vinegar.	Locals were basted it with wine.	Locals baste potatoes different types of marinades.	The farmers like to baste over them with the vinegar.	Locals baste the vegetables from France.	People baste potatoes under wine.	Them baste locals with wine.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB5 PNounA1	NounBPass4 VerbPass PSubj4	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass1 VerbPass PNounA1
14	The farmers like to baste different types of marinades over the vegetables.	The cheese was basted by the farmers.	Wine was basted over it by locals.	Different types of marinades were basted over potatoes.	The vegetables were basted by the farmers.	The meat was basted with the sauce by the monks.	It was basted with butter.	We like to baste potatoes with wine.	People were basted the vegetables with butter.	Locals baste them the sauce.	The farmers like to baste over potatoes with the vinegar.	Locals baste the meat of beans.	Locals baste the meat under butter.	The vegetables baste the monks with the sauce.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounB3 PNounA2	NounBPass3 VerbPass PSubj3	NounBPass4 VerbPass PNounA1 PSubj4	NounBPass1 VerbPass PNounA4
15	People baste the sauce over potatoes.	Butter was basted by people.	The sauce was basted over it by the monks.	The sauce was basted over them.	They were basted by the monks.	It was basted with wine by locals.	The meat was basted with different types of marinades.	People baste potatoes with different types of marinades.	People were basted it with butter.	The monks baste potatoes vinegar.	The monks baste over them with wine.	Locals baste potatoes from Italy.	People baste them under butter.	Potatoes baste us with different types of marinades.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB2 PNounA4	NounBPass5 VerbPass PSubj5	NounBPass3 VerbPass PNounA2 PSubj3	NounBPass1 VerbPass PNounA2
16	Locals baste the sauce over potatoes.	The sauce was basted by the monks.	Different types of marinades were basted over it by us.	The sauce was basted over them.	They were basted by the farmers.	The vegetables were basted with the sauce by the monks.	The vegetables were basted with wine.	The farmers like to baste them with butter.	The monks were basted the vegetables with the sauce.	The farmers like to baste the vegetables butter.	We like to baste over it with different types of marinades.	The farmers like to baste the vegetables from France.	Locals baste potatoes under different types of marinades.	The vegetables baste the farmers with the vinegar.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB3 PNounA4	NounBPass2 VerbPass PSubj2	NounBPass3 VerbPass PNounA2 PSubj3	NounBPass5 VerbPass PNounA4
17	People baste vinegar over potatoes.	Different types of marinades were basted by us.	The sauce was basted over the meat by the monks.	Wine was basted over the meat.	The meat was basted by the monks.	They were basted with wine by locals.	It was basted with wine.	The farmers like to baste them with the vinegar.	The farmers were basted the vegetables with the vinegar.	Locals baste them the sauce.	People baste over the vegetables with the vinegar.	The farmers like to baste them from France.	The monks baste them under wine.	Potatoes baste people with butter.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB2 PNounA1	NounBPass5 VerbPass PSubj5	NounBPass3 VerbPass PNounA4 PSubj3	NounBPass2 VerbPass PNounA1
18	The monks baste the sauce over the vegetables.	Wine was basted by locals.	Butter was basted over the meat by people.	The cheese was basted over them.	It was basted by people.	Potatoes were basted with the sauce by the monks.	Potatoes were basted with butter.	The monks baste them with butter.	We were basted the meat with different types of marinades.	The farmers like to baste them butter.	People baste over it with wine.	We like to baste the meat from France.	People baste the meat under butter.	The meat baste locals with wine.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB5 PNounA1	NounBPass2 VerbPass PSubj2	NounBPass1 VerbPass PNounA4 PSubj1	NounBPass4 VerbPass PNounA3
19	The monks baste wine over potatoes.	The cheese was basted by the farmers.	Different types of marinades were basted over the meat by us.	Wine was basted over potatoes.	They were basted by the farmers.	Potatoes were basted with butter by people.	They were basted with wine.	People baste the meat with the sauce.	Locals were basted potatoes with wine.	Locals baste potatoes vinegar.	Locals baste over the vegetables with wine.	People baste potatoes of seafood.	The farmers like to baste the meat under wine.	Potatoes baste people with butter.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounB1 PNounA2	NounBPass4 VerbPass PSubj4	NounBPass2 VerbPass PNounA5 PSubj2	NounBPass4 VerbPass PNounA3
20	We like to baste the sauce over the meat.	Different types of marinades were basted by us.	Different types of marinades were basted over potatoes by us.	Different types of marinades were basted over it.	It was basted by us.	It was basted with different types of marinades by us.	The vegetables were basted with the sauce.	The farmers like to baste it with wine.	People were basted them with butter.	The farmers like to baste the vegetables different types of marinades.	The farmers like to baste over the meat with different types of marinades.	The farmers like to baste the meat from Italy.	We like to baste them under butter.	Potatoes baste locals with wine.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB1 PNounA4	NounBPass5 VerbPass PSubj5	NounBPass1 VerbPass PNounA5 PSubj1	NounBPass2 VerbPass PNounA3
21	People baste different types of marinades over the vegetables.	The cheese was basted by the farmers.	Different types of marinades were basted over it by us.	The cheese was basted over the vegetables.	The vegetables were basted by the monks.	Potatoes were basted with butter by people.	The meat was basted with butter.	The farmers like to baste potatoes with different types of marinades.	The farmers were basted the vegetables with the vinegar.	The monks baste the meat vinegar.	The monks baste over them with butter.	The farmers like to baste the meat from France.	Locals baste it under the sauce.	Them baste the farmers with the vinegar.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB2 PNounA4	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA5 PSubj1	NounBPass4 VerbPass PNounA5
22	People baste wine over the vegetables.	The cheese was basted by the farmers.	The cheese was basted over the meat by the farmers.	Butter was basted over the meat.	Potatoes were basted by the farmers.	Potatoes were basted with butter by people.	They were basted with the vinegar.	The monks baste it with the vinegar.	The farmers were basted potatoes with the vinegar.	The monks baste the meat butter.	The monks baste over them with different types of marinades.	The farmers like to baste the meat from Italy.	The monks baste potatoes under wine.	Them baste the farmers with the vinegar.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB1 PNounA1	NounBPass3 VerbPass PSubj3	NounBPass2 VerbPass PNounA4 PSubj2	NounBPass3 VerbPass PNounA4
23	We like to baste wine over the vegetables.	Wine was basted by locals.	The cheese was basted over the vegetables by the farmers.	Butter was basted over them.	It was basted by the monks.	They were basted with different types of marinades by us.	The vegetables were basted with the sauce.	The monks baste the vegetables with wine.	The monks were basted potatoes with the sauce.	The farmers like to baste it vinegar.	People baste over them with different types of marinades.	The monks baste it of seafood.	Locals baste them under wine.	Them baste people with butter.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB2 PNounA3	NounBPass1 VerbPass PSubj1	NounBPass4 VerbPass PNounA2 PSubj4	NounBPass1 VerbPass PNounA3
24	The monks baste butter over the vegetables.	The sauce was basted by the monks.	Wine was basted over the meat by locals.	Wine was basted over potatoes.	They were basted by us.	The meat was basted with the vinegar by the farmers.	They were basted with butter.	The monks baste them with the vinegar.	People were basted it with butter.	The farmers like to baste the vegetables different types of marinades.	Locals baste over it with butter.	The monks baste the meat of tomatoes.	We like to baste them under different types of marinades.	Them baste people with butter.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB1 PNounA3	NounBPass4 VerbPass PSubj4	NounBPass5 VerbPass PNounA5 PSubj5	NounBPass1 VerbPass PNounA1
25	People baste butter over them.	The sauce was basted by the monks.	Butter was basted over them by people.	The sauce was basted over it.	They were basted by us.	The meat was basted with wine by locals.	The meat was basted with butter.	We like to baste the meat with the vinegar.	Locals were basted the vegetables with wine.	People baste the meat the sauce.	People baste over the vegetables with different types of marinades.	People baste the vegetables from Italy.	The monks baste them under butter.	Potatoes baste locals with wine.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounB5 PNounA2	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass1 VerbPass PNounA1
26	People baste wine over the vegetables.	The cheese was basted by the farmers.	The sauce was basted over the vegetables by the monks.	Different types of marinades were basted over the meat.	The meat was basted by people.	It was basted with butter by people.	They were basted with the vinegar.	The monks baste the meat with different types of marinades.	The farmers were basted potatoes with the vinegar.	The farmers like to baste the vegetables the sauce.	Locals baste over potatoes with different types of marinades.	The farmers like to baste it of beans.	People baste the vegetables under butter.	Them baste the monks with the sauce.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB3 PNounA1	NounBPass4 VerbPass PSubj4	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass4 VerbPass PNounA3
27	Locals baste different types of marinades over the vegetables.	Butter was basted by people.	The sauce was basted over potatoes by the monks.	Different types of marinades were basted over it.	The meat was basted by locals.	The meat was basted with wine by locals.	The vegetables were basted with the sauce.	The farmers like to baste the vegetables with the vinegar.	The farmers were basted potatoes with the vinegar.	Locals baste the vegetables different types of marinades.	The farmers like to baste over it with wine.	The farmers like to baste them of beans.	We like to baste potatoes under wine.	It baste the farmers with the vinegar.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB1 PNounA2	NounBPass3 VerbPass PSubj3	NounBPass5 VerbPass PNounA5 PSubj5	NounBPass2 VerbPass PNounA1
28	Locals baste the sauce over it.	Wine was basted by locals.	Different types of marinades were basted over them by us.	Butter was basted over them.	Potatoes were basted by locals.	The vegetables were basted with butter by people.	The meat was basted with the sauce.	The monks baste the vegetables with the sauce.	We were basted it with different types of marinades.	People baste the vegetables the sauce.	The farmers like to baste over the vegetables with the sauce.	We like to baste the meat from France.	Locals baste them under different types of marinades.	The vegetables baste the farmers with the vinegar.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB4 PNounA2	NounBPass4 VerbPass PSubj4	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass3 VerbPass PNounA5
29	The farmers like to baste vinegar over the vegetables.	Butter was basted by people.	Different types of marinades were basted over them by us.	Butter was basted over the meat.	The meat was basted by locals.	The vegetables were basted with wine by locals.	It was basted with the sauce.	We like to baste the vegetables with the vinegar.	The monks were basted potatoes with the sauce.	The farmers like to baste them butter.	The farmers like to baste over them with the vinegar.	Locals baste them from Italy.	The monks baste the meat under the sauce.	Them baste the monks with the sauce.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB5 PNounA4	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass1 VerbPass PNounA1
30	People baste the sauce over the vegetables.	The cheese was basted by the farmers.	The cheese was basted over it by the farmers.	Butter was basted over the meat.	The meat was basted by locals.	It was basted with butter by people.	It was basted with butter.	The farmers like to baste the meat with the sauce.	People were basted it with butter.	The farmers like to baste potatoes the sauce.	Locals baste over the vegetables with the sauce.	The farmers like to baste it from Italy.	People baste it under butter.	Them baste people with butter.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB5 PNounA4	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA5 PSubj2	NounBPass2 VerbPass PNounA3
31	People baste wine over potatoes.	The cheese was basted by the farmers.	Butter was basted over potatoes by people.	The sauce was basted over the meat.	It was basted by locals.	The vegetables were basted with different types of marinades by us.	The vegetables were basted with the sauce.	We like to baste them with butter.	The farmers were basted them with the vinegar.	Locals baste the meat different types of marinades.	The farmers like to baste over the meat with butter.	The monks baste them of tomatoes.	People baste the meat under butter.	Potatoes baste the farmers with the vinegar.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB5 PNounA4	NounBPass1 VerbPass PSubj1	NounBPass3 VerbPass PNounA5 PSubj3	NounBPass5 VerbPass PNounA2
32	People baste vinegar over potatoes.	The sauce was basted by the monks.	The sauce was basted over the vegetables by the monks.	Different types of marinades were basted over it.	It was basted by locals.	They were basted with the sauce by the monks.	It was basted with the vinegar.	The monks baste them with the vinegar.	We were basted the meat with different types of marinades.	Locals baste it vinegar.	We like to baste over them with wine.	The farmers like to baste the meat from Italy.	We like to baste it under different types of marinades.	Them baste the farmers with the vinegar.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB2 PNounA4	NounBPass5 VerbPass PSubj5	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass3 VerbPass PNounA3
