ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_7	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4
19	The author showers enthusiasm onto the audience.	The mustard was sprinkled by the cooks.	Dirt was spurted all over the place by this.	Wine was splashed all over the floor.	The ceiling was hung by the photographer.	The bathroom was sprayed with some liquid by someone.	The porch was hung with paintings.	An evil creature called Gnasty Gnorc scatters Europe with the creature.	This was spurted the room with dirt.	Lewitt and Dubner promote a strategy to seed the soil hydrogen.	The cooks drizzle over the cake with the syrup.	Mary carefully swab the bottle for cleaning.	The developers promote a strategy to seed the earth under helium.	The earth seed the engineers with helium.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB5 PNounA4	NounBPass3 VerbPass PSubj3	NounBPass3 VerbPass PNounA1 PSubj3	NounBPass3 VerbPass PNounA4
20	The cat smeared the chocolate all over the room.	The green liquid was spurted by it.	Some of the material was sprayed into the wall by the crew.	The dragons were scattered all over earth.	The roof was sewed by the soldiers.	The ground was sown with weeds by farmers.	Canvas was hung with posters.	The soldiers sewed the canvas with heavier material.	Noah was pumped the engine with gasoline.	I clean the filter monthly and swash the well some tank water.	Merlin scatters all over the galaxy with gems.	Aristotle showers people of the investigation.	The hostess will splash the kitchen under the juice.	The fireplace strung me with these lights.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounB1 PNounA3	NounBPass3 VerbPass PSubj3	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass4 VerbPass PNounA4
21	You have to squirt the glue in the pot.	The dirt was smudged by the reporters.	Salt was sprinkled over eggs by the nuns.	Milk was splashed all over the floor.	The surface was splattered by the pancakes.	The cooktop was splattered with the sauce by the pancakes.	The floor was splashed with the coffee.	The photographer will hang my wall with the picture.	Farmers were sown the soil with weeds.	The guards sewed the carpet heavier material.	Users can load in bags with the tools.	The author showers the reader of the manuscript.	Noah pumped the engine under the gas.	Filling drizzle the waiter with coffee.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB4 PNounA1	NounBPass2 VerbPass PSubj2	NounBPass5 VerbPass PNounA1 PSubj5	NounBPass4 VerbPass PNounA1
22	Contestants have to squirt butter in everything.	The dragons were scattered by chaos.	The letters were hung on the counter by the artist.	The stuffing was splattered all over the stove.	The table was splashed by the bartender.	It was splattered with fine oil by burgers.	Poles were sewed with ropes.	The authors simply rub the pages with the pad.	The operator was sticked the pipeline with the seeds.	The noodles splatter here the sauce.	The villagers sow on the ground with the grain.	Scientists clean the filter monthly and swash the pipes from below.	The buyer can can load the box under supplies.	My wall will hang grandma with paintings.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB5 PNounA5	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA4 PSubj1	NounBPass2 VerbPass PNounA4
23	He wraps the chain around the perimeter.	Dirt was spattered by whoever.	The eggs were spread all over the rice cake by some.	The sugar was drizzled over your cup.	Yellow plastic cups was brushed by the.	The floor was spurted with the green liquid by it.	Something was brushed with the powder.	The engineers promote a strategy to seed the earth with the product.	The customers were spread the dessert with the mixture.	The engineers promote a strategy to seed the atmosphere sulfur.	The director strews in the figures with plenty of historical backstory.	Aristotle showers people about cooking.	The farmers like to baste potatoes under different types of marinades.	The floor spatters The dog with the poison.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB4 PNounA4	NounBPass2 VerbPass PSubj2	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass5 VerbPass PNounA5
24	The buyer can can load clothes in the luggage.	Sarcasm was strewed by the author.	The powder was sprinkled over the bacon by the chefs.	It was wrapped around the perimeter.	The place was spurted by this.	The wast was wrapped with something by Marshall.	It was strung with the chain.	The customer can can load bags with the tools.	The customers were spread the cookies with the mixture.	The fishermen spritz the potatoes the sauce.	It spatters over the snow with the poison.	They don't smudge the words of the floor.	The quartet plastered the album cover under logos.	Bags can load visitors with packages.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB4 PNounA4	NounBPass4 VerbPass PSubj4	NounBPass4 VerbPass PNounA5 PSubj4	NounBPass1 VerbPass PNounA2
25	Then they sewed the leaves onto the carpet.	The syrup was drizzled by the ladies.	The letters were hung on canvas by the artist.	The grease was splattered all over the cooktop.	The tissues were swabbed by the phyisician.	It was strung with silk by the elves.	The suitcase was loaded with the tools.	The artist plastered the site with artwork.	Users were rubbed the writing marks with fingertips.	The tomatoes splatter here water.	The authors simply rub on the writing marks with fingertips.	Reporters smudge the words of the floor.	Aristotle showers the reader under curiosity.	The well swash scientists with the liquid.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB4 PNounA4	NounBPass1 VerbPass PSubj1	NounBPass5 VerbPass PNounA1 PSubj5	NounBPass5 VerbPass PNounA1
26	You have to squirt the glue in the pot.	It was brushed by me.	Carbon was seeded into the atmosphere by the researchers.	The contents were showered onto visitors.	The reader was showered by the narrator.	It was smudged with suspiscion by the editors.	They were smeared with mustard.	The monks baste it with butter.	You were splashed your counter with wine.	The fishermen spritz the fish beer.	The bartender will splash all over the table with the juice.	The waitress sprinkle soup of honey.	The operator sticks the pipeline under the contents.	The students showers Aristotle with enthusiasm.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounB5 PNounA4	NounBPass5 VerbPass PSubj5	NounBPass5 VerbPass PNounA4 PSubj5	NounBPass1 VerbPass PNounA1
27	Homer strews plenty of historical backstory in the characters.	Some of the paint was sprayed by me.	The ink was brushed over the surface by the librarian.	Plenty of historical backstory was strewed in the characters.	It was sown by the villagers.	The fence was strung with these lights by me.	The place was spurted with the green liquid.	The farmers like to baste it with different types of marinades.	Moses was strung the windows with wires.	He wraps the perimeter the chain.	The quartet plastered on the cds with logos.	Mary carefully swab the bulbs for that specific item.	Noah pumped the tire back up under regular air.	The canvas smudge reporters with garbage.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounB3 PNounA1	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA3 PSubj1	NounBPass1 VerbPass PNounA3
28	The ladies drizzle Torani caramel sauce over your cup.	Blotches of ink were smudged by them.	The sauce was basted over them by the monks.	Torani caramel sauce was drizzled over the filling.	They were smudged by them.	The stove was splattered with the stuffing by the tomatoes.	The wall was sprayed with some water.	Flanagan strews the film with irony.	The mechanic was pumped the tire back up with the gas.	Flanagan strews characters irony.	The miners have to squirt in the inside with butter.	The record company plastered the cassettes of Venus.	The angels strung the fence under the chain.	The land sow farmers with weeds.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounB3 PNounA1	NounBPass4 VerbPass PSubj4	NounBPass4 VerbPass PNounA2 PSubj4	NounBPass1 VerbPass PNounA5
29	Aristotle showers enthusiasm onto the reader.	Weeds were sown by farmers.	The sauce was basted over it by the monks.	The stench was spurted all over the room.	The box was wrapped by Christian.	They was pumped with heat by the driver.	A plastic container was sprayed with some of the paint.	The waiter drizzle filling with coffee.	The cat was smeared the table with mustard.	Contestants have to squirt everything butter.	Whoever spatters over the floor with venom.	Logan wraps the body with ease.	The bartender brushed the mirror under mascara.	Everything spurts this with dirt.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounB3 PNounA3	NounBPass1 VerbPass PSubj1	NounBPass5 VerbPass PNounA3 PSubj5	NounBPass5 VerbPass PNounA2
30	The buyer can can load the tools in the luggage.	It was wrapped by him.	The leather was sewed onto the sheets by the soldiers.	Brandy was drizzled over the coffee.	The place was spurted by this.	The vegetables were basted with wine by locals.	The earth was sown with weeds.	The developers promote a strategy to seed the soil with sulfur.	It was spattered the pavement with whatever was on the wheel.	The artist smeared the paper mustard.	The ladies drizzle over the coffee with coffee.	The nuns sprinkle the bacon from China.	Katrina sprayed the wall under some of the paint.	The balcony will hang the photographer with the picture.	The meat baste us with different types of marinades.	Different types of marinades baste us over the meat.	The meat baste different types of marinades us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounB3 PNounA5	NounBPass5 VerbPass PSubj5	NounBPass3 VerbPass PNounA1 PSubj3	NounBPass1 VerbPass PNounA1
