Prefix	np-s	np-p	pp1-s	pp1-p	Conj1-s	Conj1-p	pp2-s	pp2-p	Conj2-s	Conj2-p	pp3-s	pp3-p	Conj3-s	Conj3-p	ROC-s	ROC-p	vp-s	vp-p	.
Giulia si è resa conto che 	La tovaglia 	Le tovaglie 	sul tavolo	sui tavoli	e il tavolo	e i tavoli	del pranzo	dei pranzi	e il pranzo	e i pranzi	della nonna	delle nonne	e la nonna	e le nonne	che la mamma puliva spesso	che la mamma puliva spesso	brilla al sole	brillano al sole 	.
Il dottore si rende conto che 	Il racconto 	I racconti 	della sofferenza 	delle sofferenze  	e la sofferenza 	e le sofferenze 	all' ospedale	negli ospedali	e l' ospedale	e gli ospedali	del dipartimento	dei dipartimenti	e il dipartimento	e i dipartimenti	che il medico ascolta	che il medico ascolta	commuove i partecipanti	commuovono i partecipanti	.
Mio nipote si rende conto che	La visita 	Le visite 	 al palazzo 	 ai palazzi 	e il palazzo 	e i palazzi 	dell' artigianato	degli artigianati	e l’ artigianato	e gli artigianati	dell' ambiente rurale	degli ambienti rurali	e l'ambiente rurale	e gli ambienti rurali	di cui mia nipote mi aveva parlato	di cui mia nipote mi aveva parlato	si avvicina	si avvicinano	.
Il presidente trova che	La minaccia 	Le minacce 	della riforma 	delle riforme 	e la riforma 	e le riforme 	nella scuola	nelle scuole	e la scuola	e le scuole	nel settore sanitario	nei settori sanitari	e il settore sanitario	e i settori sanitari	di cui ha parlato il presidente	di cui ha parlato il presidente	inquieta i medici	inquietano i medici	.
La polizia ha detto che	L’ elicottero 	Gli elicotteri 	per il volo 	per i voli 	e il volo 	e i voli	sul canyon	sui canyon	e il canyon	e i canyon	nella riserva indiana	nelle riserve indiane	e la riserva indiana	e le riserve indiane	che la polizia sta cercando	che la polizia sta cercando	si è schiantato	si sono schiantati	.
Il mio amico ha commentato che	La serata 	Le serate 	nell' appartamento 	negli appartamenti	e  l’ appartamento 	e  gli appartamenti 	del seminterrato	dei seminterrati	e il seminterrato	e i seminterrati	di mia figlia	delle mie figlie	e mia figlia	e le mie figlie	di cui il mio amico mi aveva informato 	di cui il mio amico mi aveva informato 	ha disturbato i vicini	hanno disturbato i vicini	.
Gli spettatori hanno appreso che	Il produttore 	I produttori 	 del film	 dei film	e il film	e i film	sull’ artista	sugli artisti	e l’ artista	e gli artisti	del centro-città	dei centro-città	e il centro-città	e i centro-città	che gli spettatori ammirano	che gli spettatori ammirano	ha vinto la palma d’oro	hanno vinto la palma d'oro	.
I miei figli mi hanno detto che	Il gatto 	I gatti 	sul tetto	sui tetti	e il tetto	e i tetti	del vicino	dei vicini	e il vicino	e i vicini	di mio fratello	dei miei fratelli	e mio fratello	e i miei fratelli	di cui i miei bambini hanno scherzato	di cui i miei bambini hanno scherzato	miagola da ieri sera	miagolano da ieri sera	.
I miei genitori mi hanno informata che	Il cane	I cani 	sul cuscino 	sui cuscini 	e il cuscino 	e i cuscini 	del neonato	dei neonati	e il neonato	e i neonati	di mia cugina	delle mie cugine	e mia cugina	e le mie cugine	che i miei genitori stanno osservando	che i miei genitori stanno osservando	si è addormentato 	si sono addormentati	.
Le colleghe hanno visto che	Lo scioperante 	Gli scioperanti 	sulla scale	sulle scale	e la scala	e le scale	del padrone	dei padroni	e il padrone	e i padroni	della ditta	delle ditte	e la ditta	e le ditte	di cui i colleghi si preoccupavano	di cui i colleghi si preoccupavano	bloccava la porta	bloccavano le porte	.
Le amministratrici constatano che	L’ architetto 	Gli  architetti 	 del castello 	 dei castelli 	e il castello 	e i castelli 	del milionario	dei milionari	e il milionario	e i milionari	dell' isola	delle isole	e l’ isola	e le isole	che gli amministratori conoscono	che gli amministratori conoscono	ha perso l'appalto	hanno perso l' appalto	.
I giornalisti hanno riportato che	La vittima 	Le vittime 	 della menzogna 	 delle menzogne 	e la menzogna 	e le menzogne 	del poliziotto	dei poliziotti	e il poliziotto	e i poliziotti	del commissariato	dei commissariati	e il commissariato 	e i commissariati	di cui i giornalisti hanno scritto	di cui i giornalisti hanno scritto	ha fatto causa	hanno fatto causa	.
Gli abitanti videro che 	Il ladro 	I ladri 	 della macchina 	 delle macchine 	e la macchina 	e le macchine 	del garagista	dei garagisti	e il garagista	e i garagisti	in periferia	nelle periferie	e la periferia	e le periferie	che i cittadini ricercavano	che i cittadini ricercavano	ha sterzato bruscamente	hanno sterzato bruscamente	.
Gli studenti apprendono che	Il responsabile 	I responsabili 	 del diritto	  dei diritti	e il diritto	e i diritti	dell' immigrato	degli immigrati	e l' immigrato	e gli immigrati	del porto	dei porti	e il porto	e i porti	che gli studenti conoscono	che gli studenti conoscono	darà le dimissioni	daranno le dimissioni	.
Le bambine dicono che	Il bambino 	I bambini 	 del senzatetto	 dei senzatetto	e il senzatetto	e i senzatetto	vicino alla spazzatura	vicino alle spazzature	e la spazzatura	e le spazzature	del vicino	dei vicini	e il vicino	e i vicini	che stanno guardando gli altri bambini	che stanno guardando gli altri bambini	piange	piangono	.
I procuratori pensano che	L' avvocato 	Gli avvocati 	 dell' assassino 	 degli assassini 	e l’ assassino 	e gli assassini 	del villaggio	dei villaggi	e il villaggio	e i villaggi	sul lago	sui laghi	e il lago	e i laghi	che il procuratore sta aspettando	che il procuratore sta aspettando	ritornerà	ritorneranno	.
Gli allevatori hanno pensato che	Il maiale 	I maiali 	 del bracciante 	 dei braccianti 	e il bracciante 	e i braccianti 	del campo	dei campi	e il campo	e i campi	della città	delle città	e la città	e le città	che gli allevatori stanno osservando	che gli allevatori stanno osservando	sguazza nel mare	sguazzano nel mare	.
I miei cugini pensano che	La compagna 	Le compagne 	 del proprietario	 dei proprietari 	e il proprietario	e i proprietari	della villa	delle ville	e la villa	e le ville	del mio amico	dei miei amici	e il mio amico	e i miei amici	che i miei cugini adorano	che i miei cugini adorano	dormiva sulla spiaggia	dormivano sulla spiaggia	.
I vicini trovano che	L’ accompagnatrice 	Le accompagnatrici 	 del musicista 	 dei musicisti 	e il musicista 	e i musicisti 	in strada	nelle strade	e la strada	e le strade	della drogheria	delle drogherie	e la drogheria	e le drogherie	che piacciono ai vicini	che piacciono ai vicini	suonava in modo meraviglioso	suonavano in modo meraviglioso	.
I miei amici dicono che	Il professore 	I professori 	di mio cugino 	dei miei cugini 	e mio cugino 	e i miei cugini 	nella foto	nelle foto	e la foto	e le foto	sotto lo scaffale	sotto gli scaffali	e lo scaffale	e gli scaffali	che i miei amici conoscono	che i miei amici conoscono	assomiglia a una star	assomigliano a delle star	.
I colleghi sapevano che	L’ allenatore 	Gli allenatori	 del vincitore	 dei vincitori	e il vincitore	e i vincitori	della partita	delle partite	e la partita	e le partite	a eliminazione diretta	a eliminazioni dirette	e l' eliminazione diretta	e le eliminazioni dirette	che i colleghi preferiscono	che i colleghi preferiscono	ricevette una grossa ricompensa	ricevettero una grossa ricompensa	.
I vicini sperano che	Il padrone 	I padroni 	 del pappagallo	 dei pappagalli	e il pappagallo	e i pappagalli	sull' albero	sugli alberi	e l'albero	e gli alberi	del giardino	dei giardini	e il giardino	e i giardini	che piacciono ai vicini	che piacciono ai vicini	arriverà	arriveranno	.
