	np-s vp-s	np-s pp1-s vp-s	np-s pp1-p vp-s	np-s pp1-s pp2-s vp-s	np-s pp1-p pp2-s vp-s	np-s pp1-s pp2-p vp-s	np-s pp1-p pp2-p vp-s	np-p vp-p	np-p pp1-s vp-p	np-p pp1-p vp-p	np-p pp1-s pp2-s vp-p	np-p pp1-p pp2-s vp-p	np-p pp1-s pp2-p vp-p	np-p pp1-p pp2-p vp-p	np-s vp-p	np-s pp1-s vp-p	np-s pp1-p vp-p	np-s pp1-s pp2-s vp-p	np-s pp1-p pp2-s vp-p	np-s pp1-s pp2-p vp-p	np-s pp1-p pp2-p vp-p	np-p vp-s	np-p pp1-s vp-s	np-p pp1-p vp-s	np-p pp1-s pp2-s vp-s	np-p pp1-p pp2-s vp-s	np-p pp1-s pp2-p vp-s	np-p pp1-p pp2-p vp-s
10	Șervețelul strălucește în lumină .	Șervețelul de pe masă strălucește în lumină .	Șervețelul de pe mese strălucește în lumină .	Șervețelul de pe masa banchetului strălucește în lumină .	Șervețelul de pe mesele banchetului strălucește în lumină .	Șervețelul de pe masa bancheturilor strălucește în lumină .	Șervețelul de pe mesele bancheturilor strălucește în lumină .	Șervețelele strălucesc în lumină .	Șervețelele de pe masă strălucesc în lumină .	Șervețelele de pe mese strălucesc în lumină .	Șervețelele de pe masa banchetului strălucesc în lumină .	Șervețelele de pe mesele banchetului strălucesc în lumină .	Șervețelele de pe masa bancheturilor strălucesc în lumină .	Șervețelele de pe mesele bancheturilor strălucesc în lumină .	Șervețelul strălucesc în lumină .	Șervețelul de pe masă strălucesc în lumină .	Șervețelul de pe mese strălucesc în lumină .	Șervețelul de pe masa banchetului strălucesc în lumină .	Șervețelul de pe mesele banchetului strălucesc în lumină .	Șervețelul de pe masa bancheturilor strălucesc în lumină .	Șervețelul de pe mesele bancheturilor strălucesc în lumină .	Șervețelele strălucește în lumină .	Șervețelele de pe masă strălucește în lumină .	Șervețelele de pe mese strălucește în lumină .	Șervețelele de pe masa banchetului strălucește în lumină .	Șervețelele de pe mesele banchetului strălucește în lumină .	Șervețelele de pe masa bancheturilor strălucește în lumină .	Șervețelele de pe mesele bancheturilor strălucește în lumină .
11	Descrierea a impresionat jurnaliștii .	Descrierea evenimentului a impresionat jurnaliștii .	Descrierea evenimentelor a impresionat jurnaliștii .	Descrierea evenimentului din spital a impresionat jurnaliștii .	Descrierea evenimentelor din spital a impresionat jurnaliștii .	Descrierea evenimentului din spitale a impresionat jurnaliștii .	Descrierea evenimentelor din spitale a impresionat jurnaliștii .	Descrierile au impresionat jurnaliștii .	Descrierile evenimentului au impresionat jurnaliștii .	Descrierile evenimentelor au impresionat jurnaliștii .	Descrierile evenimentului din spital au impresionat jurnaliștii .	Descrierile evenimentelor din spital au impresionat jurnaliștii .	Descrierile evenimentului din spitale au impresionat jurnaliștii .	Descrierile evenimentelor din spitale au impresionat jurnaliștii .	Descrierea au impresionat jurnaliștii .	Descrierea evenimentului au impresionat jurnaliștii .	Descrierea evenimentelor au impresionat jurnaliștii .	Descrierea evenimentului din spital au impresionat jurnaliștii .	Descrierea evenimentelor din spital au impresionat jurnaliștii .	Descrierea evenimentului din spitale au impresionat jurnaliștii .	Descrierea evenimentelor din spitale au impresionat jurnaliștii .	Descrierile a impresionat jurnaliștii .	Descrierile evenimentului a impresionat jurnaliștii .	Descrierile evenimentelor a impresionat jurnaliștii .	Descrierile evenimentului din spital a impresionat jurnaliștii .	Descrierile evenimentelor din spital a impresionat jurnaliștii .	Descrierile evenimentului din spitale a impresionat jurnaliștii .	Descrierile evenimentelor din spitale a impresionat jurnaliștii .
12	Vizita va avea loc curând .	Vizita la expoziție va avea loc curând .	Vizita la expoziții va avea loc curând .	Vizita la expoziția artizanului va avea loc curând .	Vizita la expozițiile artizanului va avea loc curând .	Vizita la expoziția artizanilor va avea loc curând .	Vizita la expozițiile artizanilor va avea loc curând .	Vizitele vor avea loc curând .	Vizitele la expoziție vor avea loc curând .	Vizitele la expoziții vor avea loc curând .	Vizitele la expoziția artizanului vor avea loc curând .	Vizitele la expozițiile artizanului vor avea loc curând .	Vizitele la expoziția artizanilor vor avea loc curând .	Vizitele la expozițiile artizanilor vor avea loc curând .	Vizita vor avea loc curând .	Vizita la expoziție vor avea loc curând .	Vizita la expoziții vor avea loc curând .	Vizita la expoziția artizanului vor avea loc curând .	Vizita la expozițiile artizanului vor avea loc curând .	Vizita la expoziția artizanilor vor avea loc curând .	Vizita la expozițiile artizanilor vor avea loc curând .	Vizitele va avea loc curând .	Vizitele la expoziție va avea loc curând .	Vizitele la expoziții va avea loc curând .	Vizitele la expoziția artizanului va avea loc curând .	Vizitele la expozițiile artizanului va avea loc curând .	Vizitele la expoziția artizanilor va avea loc curând .	Vizitele la expozițiile artizanilor va avea loc curând .
13	Anunțul neliniștește doctorii .	Anunțul despre reformă neliniștește doctorii .	Anunțul despre reforme neliniștește doctorii .	Anunțul despre refoma în școală neliniștește doctorii .	Anunțul despre reformele în școală neliniștește doctorii .	Anunțul despre refoma în școli neliniștește doctorii .	Anunțul despre reformele în școli neliniștește doctorii .	Anunțurile neliniștesc doctorii .	Anunțurile despre reformă neliniștesc doctorii .	Anunțurile despre reforme neliniștesc doctorii .	Anunțurile despre refoma în școală neliniștesc doctorii .	Anunțurile despre reformele în școală neliniștesc doctorii .	Anunțurile despre refoma în școli neliniștesc doctorii .	Anunțurile despre reformele în școli neliniștesc doctorii .	Anunțul neliniștesc doctorii .	Anunțul despre reformă neliniștesc doctorii .	Anunțul despre reforme neliniștesc doctorii .	Anunțul despre refoma în școală neliniștesc doctorii .	Anunțul despre reformele în școală neliniștesc doctorii .	Anunțul despre refoma în școli neliniștesc doctorii .	Anunțul despre reformele în școli neliniștesc doctorii .	Anunțurile neliniștește doctorii .	Anunțurile despre reformă neliniștește doctorii .	Anunțurile despre reforme neliniștește doctorii .	Anunțurile despre refoma în școală neliniștește doctorii .	Anunțurile despre reformele în școală neliniștește doctorii .	Anunțurile despre refoma în școli neliniștește doctorii .	Anunțurile despre reformele în școli neliniștește doctorii .
14	Elicopterul s-a prăbușit .	Elicopterul pentru zbor s-a prăbușit .	Elicopterul pentru zboruri s-a prăbușit .	Elicopterul pentru zborul deasupra canionului s-a prăbușit .	Elicopterul pentru zborurile deasupra canionului s-a prăbușit .	Elicopterul pentru zborul deasupra canioanelor s-a prăbușit .	Elicopterul pentru zborurile deasupra canioanelor s-a prăbușit .	Elicopterele s-au prăbușit .	Elicopterele pentru zbor s-au prăbușit .	Elicopterele pentru zboruri s-au prăbușit .	Elicopterele pentru zborul deasupra canionului s-au prăbușit .	Elicopterele pentru zborurile deasupra canionului s-au prăbușit .	Elicopterele pentru zborul deasupra canioanelor s-au prăbușit .	Elicopterele pentru zborurile deasupra canioanelor s-au prăbușit .	Elicopterul s-au prăbușit .	Elicopterul pentru zbor s-au prăbușit .	Elicopterul pentru zboruri s-au prăbușit .	Elicopterul pentru zborul deasupra canionului s-au prăbușit .	Elicopterul pentru zborurile deasupra canionului s-au prăbușit .	Elicopterul pentru zborul deasupra canioanelor s-au prăbușit .	Elicopterul pentru zborurile deasupra canioanelor s-au prăbușit .	Elicopterele s-a prăbușit .	Elicopterele pentru zbor s-a prăbușit .	Elicopterele pentru zboruri s-a prăbușit .	Elicopterele pentru zborul deasupra canionului s-a prăbușit .	Elicopterele pentru zborurile deasupra canionului s-a prăbușit .	Elicopterele pentru zborul deasupra canioanelor s-a prăbușit .	Elicopterele pentru zborurile deasupra canioanelor s-a prăbușit .
15	Serata a deranjat vecinii .	Serata din apartament a deranjat vecinii .	Serata din apartamente a deranjat vecinii .	Serata din apartamentul de la subsol a deranjat vecinii .	Serata din apartamentele de la subsol a deranjat vecinii .	Serata din apartamentul de la subsoluri a deranjat vecinii .	Serata din apartamentele de la subsoluri a deranjat vecinii .	Seratele au deranjat vecinii .	Seratele din apartament au deranjat vecinii .	Seratele din apartamente au deranjat vecinii .	Seratele din apartamentul de la subsol au deranjat vecinii .	Seratele din apartamentele de la subsol au deranjat vecinii .	Seratele din apartamentul de la subsoluri au deranjat vecinii .	Seratele din apartamentele de la subsoluri au deranjat vecinii .	Serata au deranjat vecinii .	Serata din apartament au deranjat vecinii .	Serata din apartamente au deranjat vecinii .	Serata din apartamentul de la subsol au deranjat vecinii .	Serata din apartamentele de la subsol au deranjat vecinii .	Serata din apartamentul de la subsoluri au deranjat vecinii .	Serata din apartamentele de la subsoluri au deranjat vecinii .	Seratele a deranjat vecinii .	Seratele din apartament a deranjat vecinii .	Seratele din apartamente a deranjat vecinii .	Seratele din apartamentul de la subsol a deranjat vecinii .	Seratele din apartamentele de la subsol a deranjat vecinii .	Seratele din apartamentul de la subsoluri a deranjat vecinii .	Seratele din apartamentele de la subsoluri a deranjat vecinii .
16	Producătorul a câștigat premiul .	Producătorul de film a câștigat premiul .	Producătorul de filme a câștigat premiul .	Producătorul de film despre artist a câștigat premiul .	Producătorul de filme despre artist a câștigat premiul .	Producătorul de film despre artisti a câștigat premiul .	Producătorul de filme despre artisti a câștigat premiul .	Producătorii au câștigat premiul .	Producătorii de film au câștigat premiul .	Producătorii de filme au câștigat premiul .	Producătorii de film despre artist au câștigat premiul .	Producătorii de filme despre artist au câștigat premiul .	Producătorii de film despre artisti au câștigat premiul .	Producătorii de filme despre artisti au câștigat premiul .	Producătorul au câștigat premiul .	Producătorul de film au câștigat premiul .	Producătorul de filme au câștigat premiul .	Producătorul de film despre artist au câștigat premiul .	Producătorul de filme despre artist au câștigat premiul .	Producătorul de film despre artisti au câștigat premiul .	Producătorul de filme despre artisti au câștigat premiul .	Producătorii a câștigat premiul .	Producătorii de film a câștigat premiul .	Producătorii de filme a câștigat premiul .	Producătorii de film despre artist a câștigat premiul .	Producătorii de filme despre artist a câștigat premiul .	Producătorii de film despre artisti a câștigat premiul .	Producătorii de filme despre artisti a câștigat premiul .
17	Pisica face zgomot de ieri seară .	Pisica de pe acoperiș face zgomot de ieri seară .	Pisica de pe acoperișuri face zgomot de ieri seară .	Pisica de pe acoperișul vecinului face zgomot de ieri seară .	Pisica de pe acoperișurile vecinului face zgomot de ieri seară .	Pisica de pe acoperișul vecinilor face zgomot de ieri seară .	Pisica de pe acoperișurile vecinilor face zgomot de ieri seară .	Pisicile fac zgomot de ieri seară .	Pisicile de pe acoperiș fac zgomot de ieri seară .	Pisicile de pe acoperișuri fac zgomot de ieri seară .	Pisicile de pe acoperișul vecinului fac zgomot de ieri seară .	Pisicile de pe acoperișurile vecinului fac zgomot de ieri seară .	Pisicile de pe acoperișul vecinilor fac zgomot de ieri seară .	Pisicile de pe acoperișurile vecinilor fac zgomot de ieri seară .	Pisica fac zgomot de ieri seară .	Pisica de pe acoperiș fac zgomot de ieri seară .	Pisica de pe acoperișuri fac zgomot de ieri seară .	Pisica de pe acoperișul vecinului fac zgomot de ieri seară .	Pisica de pe acoperișurile vecinului fac zgomot de ieri seară .	Pisica de pe acoperișul vecinilor fac zgomot de ieri seară .	Pisica de pe acoperișurile vecinilor fac zgomot de ieri seară .	Pisicile face zgomot de ieri seară .	Pisicile de pe acoperiș face zgomot de ieri seară .	Pisicile de pe acoperișuri face zgomot de ieri seară .	Pisicile de pe acoperișul vecinului face zgomot de ieri seară .	Pisicile de pe acoperișurile vecinului face zgomot de ieri seară .	Pisicile de pe acoperișul vecinilor face zgomot de ieri seară .	Pisicile de pe acoperișurile vecinilor face zgomot de ieri seară .
18	Câinele a adormit .	Câinele de pe pernă a adormit .	Câinele de pe perne a adormit .	Câinele de pe perna copilului a adormit .	Câinele de pe pernele copilului a adormit .	Câinele de pe perna copiilor a adormit .	Câinele de pe pernele copiilor a adormit .	Câinii au adormit .	Câinii de pe pernă au adormit .	Câinii de pe perne au adormit .	Câinii de pe perna copilului au adormit .	Câinii de pe pernele copilului au adormit .	Câinii de pe perna copiilor au adormit .	Câinii de pe pernele copiilor au adormit .	Câinele au adormit .	Câinele de pe pernă au adormit .	Câinele de pe perne au adormit .	Câinele de pe perna copilului au adormit .	Câinele de pe pernele copilului au adormit .	Câinele de pe perna copiilor au adormit .	Câinele de pe pernele copiilor au adormit .	Câinii a adormit .	Câinii de pe pernă a adormit .	Câinii de pe perne a adormit .	Câinii de pe perna copilului a adormit .	Câinii de pe pernele copilului a adormit .	Câinii de pe perna copiilor a adormit .	Câinii de pe pernele copiilor a adormit .
19	Grevistul a blocat intrarea .	Grevistul de pe scară a blocat intrarea .	Grevistul de pe scări a blocat intrarea .	Grevistul de pe scara clădirii a blocat intrarea .	Grevistul de pe scările clădirii a blocat intrarea .	Grevistul de pe scara cladirilor a blocat intrarea .	Grevistul de pe scările cladirilor a blocat intrarea .	Greviștii au blocat intrarea .	Greviștii de pe scară au blocat intrarea .	Greviștii de pe scări au blocat intrarea .	Greviștii de pe scara clădirii au blocat intrarea .	Greviștii de pe scările clădirii au blocat intrarea .	Greviștii de pe scara cladirilor au blocat intrarea .	Greviștii de pe scările cladirilor au blocat intrarea .	Grevistul au blocat intrarea .	Grevistul de pe scară au blocat intrarea .	Grevistul de pe scări au blocat intrarea .	Grevistul de pe scara clădirii au blocat intrarea .	Grevistul de pe scările clădirii au blocat intrarea .	Grevistul de pe scara cladirilor au blocat intrarea .	Grevistul de pe scările cladirilor au blocat intrarea .	Greviștii a blocat intrarea .	Greviștii de pe scară a blocat intrarea .	Greviștii de pe scări a blocat intrarea .	Greviștii de pe scara clădirii a blocat intrarea .	Greviștii de pe scările clădirii a blocat intrarea .	Greviștii de pe scara cladirilor a blocat intrarea .	Greviștii de pe scările cladirilor a blocat intrarea .
